Puzzle Number,Algorithm,Heuristic,Solution Path Length,Search Path Length,Execution Time (s)
47,gbfs,h1,3,4,0.0110
47,gbfs,h2,3,4,0.0199
47,gbfs,h3,3,4,0.0110
47,gbfs,h4,8,41,0.1885
48,a*,h1,4,135,0.0173
48,a*,h2,4,135,0.0177
48,a*,h3,4,39,0.0045
48,a*,h4,4,339,0.0529
48,ucs,NA,4,339,0.0333
48,gbfs,h1,91,751,2.8434
48,gbfs,h2,91,751,2.7566
48,gbfs,h3,91,751,3.0672
48,gbfs,h4,121,1956,11.7117
49,a*,h1,5,155,0.0203
49,a*,h2,5,155,0.0204
49,a*,h3,5,74,0.0095
49,a*,h4,5,363,0.0593
49,ucs,NA,5,363,0.0369
49,gbfs,h1,105,1389,4.9149
49,gbfs,h2,105,1389,4.8600
49,gbfs,h3,105,1389,5.6877
49,gbfs,h4,99,1339,7.1240
50,a*,h1,5,265,0.0336
50,a*,h2,5,265,0.0331
50,a*,h3,5,51,0.0061
50,a*,h4,5,742,0.1132
50,ucs,NA,5,742,0.0690
50,gbfs,h1,79,2048,9.5036
50,gbfs,h2,79,2048,8.6438
50,gbfs,h3,79,2048,11.5459
50,gbfs,h4,164,3806,27.8325
